Model,Brand,Price ($),Price Range,Year,Exterior color,Interior color,Seats,Range (mi),Fast Charging L3 (minutes),Mileage (mi),Performance (HP),Charging type,Battery Size (kWh),Battery Warranty (months),Battery Warranty (miles),VIN,URL
3 Long Range Dual Motor All-Wheel Drive,Tesla,26440.0,Low,2024.0,White,White/Black,5.0,346.0,30.0,7710.0,425.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EBXRF821989,https://ev.com/vehicle/6d93sh
3 Rear-Wheel Drive,Tesla,23090.0,Low,2024.0,Blue,Black,5.0,272.0,30.0,9537.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA1RF786895,https://ev.com/vehicle/bl4fo0
3 Long Range Rear-Wheel Drive,Tesla,28240.0,Low,2025.0,White,Black,5.0,363.0,30.0,365.0,295.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EA7SF922310,https://ev.com/vehicle/pa38fb
3 Rear-Wheel Drive,Tesla,15238.0,Low,2023.0,White,White,5.0,272.0,30.0,12326.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EAXPF545124,https://ev.com/vehicle/grs2z9
3 Rear-Wheel Drive,Tesla,18580.0,Low,2023.0,Gray,Black,5.0,272.0,30.0,3249.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA2PF601119,https://ev.com/vehicle/q8eqoe
3 Rear-Wheel Drive,Tesla,16427.0,Low,2023.0,White,Black,5.0,272.0,30.0,19329.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA8PF501025,https://ev.com/vehicle/i1723s
3 Rear-Wheel Drive,Tesla,11734.0,Low,2023.0,Black,Black,5.0,272.0,30.0,39642.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA5PF570660,https://ev.com/vehicle/6bam73
3 Rear-Wheel Drive,Tesla,14228.0,Low,2023.0,White,Black,5.0,272.0,30.0,17454.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA7PF574760,https://ev.com/vehicle/99rr6s
3 Long Range Rear-Wheel Drive,Tesla,32735.0,Medium,2025.0,White,"""BK""",5.0,363.0,30.0,295.0,295.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EA9SF984694,https://ev.com/vehicle/1cblz1
3 Performance Dual Motor All-Wheel Drive,Tesla,16235.0,Low,2021.0,[PBSB] Solid Black,Black,5.0,315.0,30.0,12045.0,455.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EC5MF926070,https://ev.com/vehicle/bx7f95
Slong Range Dual Motor All-Wheel Drive,Tesla,32532.0,Medium,2021.0,Silver,Black,5.0,405.0,30.0,20581.0,670.0,NACS (J3400) DC fast charge connector,100.0,96.0,150000.0,5YJSA1E58MF429488,https://ev.com/vehicle/1w1js7
Splaid Tri Motor All-Wheel Drive,Tesla,59742.0,High,2023.0,Red,Black/White,5.0,396.0,30.0,15896.0,1020.0,NACS (J3400) DC fast charge connector,100.0,96.0,150000.0,5YJSA1E66PF499102,https://ev.com/vehicle/zdhhap
Sdual Motor All-Wheel Drive,Tesla,41783.0,Medium,2023.0,Gray,Black,5.0,405.0,30.0,9565.0,670.0,NACS (J3400) DC fast charge connector,100.0,96.0,150000.0,5YJSA1E50PF527953,https://ev.com/vehicle/0vyi90
Xlong Range,Tesla,54673.0,Medium,2024.0,Red,Cream,5.0,329.0,30.0,14159.0,670.0,NACS (J3400) DC fast charge connector,100.0,96.0,150000.0,7SAXCAE5XRF449414,https://ev.com/vehicle/ckxmmm
Ylong Range Dual Motor All-Wheel Drive,Tesla,21240.0,Low,2023.0,Gray,Black,5.0,330.0,30.0,31059.0,425.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGDEE0PF845598,https://ev.com/vehicle/h8x9v3
Ylong Range Dual Motor All-Wheel Drive,Tesla,19649.0,Low,2023.0,Black,Black,5.0,330.0,30.0,15093.0,425.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGAEE9PF876184,https://ev.com/vehicle/1eov7d
Ylong Range Dual Motor All-Wheel Drive,Tesla,18727.0,Low,2023.0,White,Black,5.0,330.0,30.0,18936.0,425.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGDEEXPA103934,https://ev.com/vehicle/ysi5hk
Ylong Range Dual Motor All-Wheel Drive,Tesla,23397.0,Low,2024.0,Gray,Black,5.0,337.0,25.0,11427.0,295.0,NACS (J3400) DC fast charge connector,60.0,96.0,120000.0,7SAYGDED9RF186463,https://ev.com/vehicle/yn7eqo
Yperformance Dual Motor All-Wheel Drive,Tesla,33800.0,Medium,2025.0,Stealth Gray,Black,5.0,277.0,30.0,8925.0,455.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGDEF7SF218415,https://ev.com/vehicle/qwghej
Ylong Range Dual Motor All-Wheel Drive,Tesla,17675.0,Low,2023.0,White,Black,5.0,330.0,30.0,40024.0,425.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGDEE6PA068597,https://ev.com/vehicle/69bl9g
Yperformance Dual Motor All-Wheel Drive,Tesla,19674.0,Low,2022.0,White,Unknown,5.0,303.0,30.0,6169.0,455.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGDEF5NF347953,https://ev.com/vehicle/woo7cz
Yperformance Dual Motor All-Wheel Drive,Tesla,17674.0,Low,2022.0,Red,White,5.0,303.0,30.0,24745.0,455.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGDEF0NF344295,https://ev.com/vehicle/6rovqv
Yrwd,Tesla,19175.0,Low,2023.0,Silver,Black,5.0,260.0,25.0,6206.0,295.0,NACS (J3400) DC fast charge connector,60.0,96.0,120000.0,7SAYGDED1PF959570,https://ev.com/vehicle/pxeio9
Ylong Range Dual Motor All-Wheel Drive,Tesla,19155.0,Low,2024.0,[PBSB] Solid Black,Black and White,5.0,337.0,25.0,902.0,295.0,NACS (J3400) DC fast charge connector,60.0,96.0,120000.0,7SAYGDED5RF092855,https://ev.com/vehicle/vwdd78
2024Teslacybertruckcyberbeast,Tesla,83185.0,High,2024.0,Silver,Black,5.0,320.0,30.0,3180.0,845.0,NACS (J3400) DC fast charge connector,123.0,96.0,150000.0,7G2CEHEEXRA043416,https://ev.com/vehicle/ebqwur
2024Teslacybertruckall-Wheel Drive,Tesla,63195.0,High,2024.0,Gray,Black,5.0,325.0,30.0,5132.0,600.0,NACS (J3400) DC fast charge connector,123.0,96.0,150000.0,7G2CEHED9RA021480,https://ev.com/vehicle/fovhzn
2024Teslacybertruckcyberbeast,Tesla,85994.0,High,2024.0,Silver,Black,5.0,320.0,30.0,3988.0,845.0,NACS (J3400) DC fast charge connector,123.0,96.0,150000.0,7G2CEHEE7RA032339,https://ev.com/vehicle/8lfrtn
3 Long Range Dual Motor All-Wheel Drive,Tesla,15338.0,Low,2022.0,Silver,White/Black,5.0,358.0,30.0,34871.0,425.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EB9NF228876,https://ev.com/vehicle/6kw82x
3 Long Range Dual Motor All-Wheel Drive,Tesla,19560.0,Low,2023.0,Gray,Black,5.0,333.0,30.0,12177.0,425.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EB6PF618093,https://ev.com/vehicle/q7pnvt
3 Rear-Wheel Drive,Tesla,9864.0,Low,2023.0,"BLACK,SOLID",BLA,5.0,272.0,30.0,40113.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA5PF459901,https://ev.com/vehicle/rvdm3m
3 Standard Range Plus Rear-Wheel Drive,Tesla,16490.0,Low,2021.0,Black,White/Black,5.0,272.0,25.0,14360.0,271.0,NACS (J3400) DC fast charge connector,50.0,96.0,100000.0,5YJ3E1EA5MF850767,https://ev.com/vehicle/br8e03
3 Long Range Dual Motor All-Wheel Drive,Tesla,14740.0,Low,2022.0,White,Black,5.0,358.0,30.0,24423.0,425.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EBXNF210855,https://ev.com/vehicle/3n9s3k
3 Rear-Wheel Drive,Tesla,13740.0,Low,2023.0,Gray,Black,5.0,272.0,30.0,27870.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA6PF486265,https://ev.com/vehicle/j3cqga
3 Rear-Wheel Drive,Tesla,15122.0,Low,2023.0,Silver,Black,5.0,272.0,30.0,17497.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EAXPF544457,https://ev.com/vehicle/g1f9c3
3 Rear-Wheel Drive,Tesla,14140.0,Low,2023.0,White,Black,5.0,272.0,30.0,20695.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA4PF570861,https://ev.com/vehicle/j0za9l
3 Rear-Wheel Drive,Tesla,14240.0,Low,2023.0,Black,Black,5.0,272.0,30.0,27058.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA5PF591377,https://ev.com/vehicle/nb8nk2
3 Performance All-Wheel Drive,Tesla,34640.0,Medium,2024.0,Gray,Black,5.0,303.0,30.0,5872.0,510.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1ET8RF868592,https://ev.com/vehicle/a7jmxh
3 Rear-Wheel Drive,Tesla,12741.0,Low,2023.0,Gray,Black,5.0,272.0,30.0,30332.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA0PF590167,https://ev.com/vehicle/1t9evf
3 Rear-Wheel Drive,Tesla,25025.0,Low,2024.0,Gray,Black,5.0,272.0,30.0,3048.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EAXRF729952,https://ev.com/vehicle/a3soa9
3 Rear-Wheel Drive,Tesla,16140.0,Low,2023.0,Silver,Black,5.0,272.0,30.0,10710.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA5PF641033,https://ev.com/vehicle/xb41d2
3 Long Range Dual Motor All-Wheel Drive,Tesla,15224.0,Low,2023.0,White,Black,5.0,333.0,30.0,62281.0,425.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EB4PF389946,https://ev.com/vehicle/8w2a6n
Blazer Evrwd Rs,Chevrolet,40654.0,Medium,2025.0,Sterling Gray Metallic,Black,5.0,334.0,32.0,4.0,340.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,3GNKDHRK5SS216641,https://ev.com/vehicle/c7ws7v
Blazer Evrwd Lt,Chevrolet,28265.0,Low,2025.0,Red,Blk Clth,5.0,283.0,32.0,2.0,288.0,SAE CCS DC fast charge connector,85.0,96.0,100000.0,3GNKDBRM6SS218767,https://ev.com/vehicle/vv9irb
Blazer Evrwd Lt,Chevrolet,27770.0,Low,2025.0,White,Blk Clth,5.0,283.0,32.0,2.0,288.0,SAE CCS DC fast charge connector,85.0,96.0,100000.0,3GNKDBRM9SS218388,https://ev.com/vehicle/p7iecd
Silverado Evrst,Chevrolet,77590.0,High,2025.0,Black,Blk Evotex,5.0,390.0,30.0,2.0,645.0,SAE CCS DC fast charge connector,180.0,96.0,100000.0,1GC101ED2SU410977,https://ev.com/vehicle/ipuhqz
Blazer Evrwd Lt,Chevrolet,32724.0,Medium,2025.0,Silver,Blk Evotex,5.0,283.0,32.0,5.0,288.0,SAE CCS DC fast charge connector,85.0,96.0,100000.0,3GNKDBRM8SS217457,https://ev.com/vehicle/8ojfaf
Equinox Evlt,Chevrolet,28330.0,Low,2025.0,White,Sky Gray,5.0,319.0,30.0,10.0,213.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3GN7DLRP3SS198144,https://ev.com/vehicle/tknybp
Equinox Evlt2 W/Pde,Chevrolet,37860.0,Medium,2025.0,Gray,Sky Gray,5.0,319.0,30.0,10.0,213.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3GN7DNRP6SS214896,https://ev.com/vehicle/tf0z3p
Equinox Evlt2 W/Pde,Chevrolet,40785.0,Medium,2025.0,White,Sky Gray,5.0,319.0,30.0,10.0,213.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3GN7DNRP4SS214783,https://ev.com/vehicle/t2rsq4
Equinox Evlt,Chevrolet,4920.0,Low,2025.0,White,Blk Clth,5.0,319.0,30.0,5.0,213.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3GN7DLRP0SS201520,https://ev.com/vehicle/x8975z
Equinox Evlt,Chevrolet,18059.0,Low,2025.0,Red,Blk Clth,5.0,319.0,30.0,5.0,213.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3GN7DLRP4SS201438,https://ev.com/vehicle/0273vr
Equinox Evrs,Chevrolet,27364.0,Low,2025.0,Black,Blk With Red Accents Evot,5.0,319.0,30.0,5.0,213.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3GN7DSRP6SS209048,https://ev.com/vehicle/jlifjo
Equinox Evlt2 W/Pde,Chevrolet,38029.0,Medium,2025.0,Black,Sky Gry Evotex,5.0,319.0,30.0,5.0,213.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3GN7DNRP8SS200725,https://ev.com/vehicle/qdvs5c
Equinox Evlt2 W/Pde,Chevrolet,32765.0,Medium,2025.0,Summit White,Sky Cool Gray,5.0,319.0,30.0,5.0,213.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3GN7DNRP9SS208848,https://ev.com/vehicle/zhq3z8
Mustang Mach-Epremium,Ford,40610.0,Medium,2025.0,Shadow Black,Black Onyx,5.0,320.0,30.0,13.0,365.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3SU4SMA04122,https://ev.com/vehicle/enn4fc
Mustang Mach-Eselect,Ford,30060.0,Low,2025.0,Shadow Black,Black Onyx,5.0,250.0,30.0,5.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R44SMA18872,https://ev.com/vehicle/k9yc9t
Mustang Mach-Eselect,Ford,25670.0,Low,2025.0,Desert Sand,Black Onyx,5.0,250.0,30.0,0.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R48SMA10869,https://ev.com/vehicle/tn7gvv
Mustang Mach-Epremium,Ford,41855.0,Medium,2025.0,Star White Metallic Tri-Coat,Black Onyx,5.0,320.0,30.0,3.0,365.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3SU4SMA15055,https://ev.com/vehicle/nascec
Mustang Mach-Egt,Ford,45052.0,Medium,2025.0,Glacier Gray Metallic Tricoat,Performance Gray,5.0,280.0,30.0,21.0,480.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK4SX3SMA08744,https://ev.com/vehicle/pgh0ve
Mustang Mach-Eselect,Ford,28015.0,Low,2025.0,Desert Sand,Black Onyx,5.0,250.0,30.0,5.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R43SMA18748,https://ev.com/vehicle/cooxx4
Mustang Mach-Epremium,Ford,38970.0,Medium,2025.0,Star White Metallic Tri-Coat,Black Onyx,5.0,310.0,30.0,0.0,290.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3R70SMA18826,https://ev.com/vehicle/62j2ur
Mustang Mach-Eselect,Ford,30260.0,Medium,2025.0,Unknown,Unknown,5.0,250.0,30.0,10.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R43SMA23268,https://ev.com/vehicle/0qc33l
Mustang Mach-Epremium,Ford,33765.0,Medium,2025.0,Unknown,Unknown,5.0,250.0,30.0,10.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3R40SMA25409,https://ev.com/vehicle/t25s44
Mustang Mach-Egt,Ford,50480.0,Medium,2025.0,Unknown,Unknown,5.0,280.0,30.0,10.0,480.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK4SX2SMA23364,https://ev.com/vehicle/y00jlf
Mustang Mach-Eselect,Ford,27916.0,Low,2025.0,Blue,Unknown,5.0,250.0,30.0,4.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R46SMA12927,https://ev.com/vehicle/x4y9sz
Mustang Mach-Eselect,Ford,27896.0,Low,2025.0,Black,Unknown,5.0,250.0,30.0,4.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R45SMA18234,https://ev.com/vehicle/pvvgjp
Mustang Mach-Egt,Ford,45675.0,Medium,2023.0,Shadow Black,Black Onyx/Copper,5.0,270.0,30.0,4548.0,480.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK4SE8PMA77029,https://ev.com/vehicle/nqi2ez
Escapephev,Ford,33932.0,Medium,2025.0,White,Ebony,5.0,37.0,30.0,3.0,163.0,SAE CCS DC fast charge connector,14.4,96.0,100000.0,1FMCU0E15SUB14960,https://ev.com/vehicle/mm2t6k
F-150 Lightningflash,Ford,47665.0,Medium,2025.0,Agate Black Metallic,Medium Dark Slate,5.0,300.0,30.0,36.0,580.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,1FTVW3L74SWG05623,https://ev.com/vehicle/lqqdpl
F-150 Lightningplatinum,Ford,66405.0,High,2025.0,Black,Black/Medium Dark Slate,5.0,300.0,30.0,15.0,580.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,1FT6W7L75SWG13838,https://ev.com/vehicle/1g67ks
Mustang Mach-Egt,Ford,45675.0,Medium,2023.0,Shadow Black,Black Onyx/Copper,5.0,270.0,30.0,7166.0,480.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK4SE0PMA77042,https://ev.com/vehicle/0tuhc6
Mustang Mach-Egt,Ford,45675.0,Medium,2023.0,Shadow Black,Black Onyx/Copper,5.0,270.0,30.0,7425.0,480.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK4SE1PMA75543,https://ev.com/vehicle/vk5wpe
Mustang Mach-Epremium,Ford,36192.0,Medium,2025.0,Gray,Light Space Gray,5.0,310.0,30.0,12.0,290.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3R77SMA12859,https://ev.com/vehicle/dxyt3r
Mustang Mach-Egt,Ford,45330.0,Medium,2025.0,Black,"""35""",5.0,280.0,30.0,8.0,480.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK4SX5SMA14187,https://ev.com/vehicle/ff80kq
Mustang Mach-Eselect,Ford,30525.0,Medium,2025.0,Black,"""sj""",5.0,250.0,30.0,20.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R48SMA18907,https://ev.com/vehicle/vd5yln
Mustang Mach-Eselect,Ford,29330.0,Low,2025.0,Black,"""sj""",5.0,250.0,30.0,19.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R45SMA11025,https://ev.com/vehicle/2xsfgs
Mustang Mach-Eselect,Ford,29330.0,Low,2025.0,Black,"""sj""",5.0,250.0,30.0,7.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R46SMA10885,https://ev.com/vehicle/2i0d2g
Mustang Mach-Epremium,Ford,37671.0,Medium,2025.0,Shadow Black,Black Onyx,5.0,310.0,30.0,3.0,290.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3R73SMA15743,https://ev.com/vehicle/loq5qs
Mustang Mach-Epremium,Ford,32760.0,Medium,2025.0,Unknown,Unknown,5.0,250.0,30.0,10.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3R48SMA22922,https://ev.com/vehicle/n1ukbc
Mustang Mach-Epremium,Ford,37660.0,Medium,2025.0,Unknown,Unknown,5.0,310.0,30.0,10.0,290.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3R78SMA21635,https://ev.com/vehicle/aglr1j
Mustang Mach-Epremium,Ford,46725.0,Medium,2025.0,Unknown,Unknown,5.0,310.0,30.0,10.0,290.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3R74SMA26573,https://ev.com/vehicle/bg6m4i
Mustang Mach-Eselect,Ford,27265.0,Low,2025.0,Molten Magenta Metallic Tinted Clearcoat,Black Onyx,5.0,250.0,30.0,5.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R41SMA08722,https://ev.com/vehicle/ssah0l
Mustang Mach-Egt,Ford,45675.0,Medium,2023.0,Shadow Black,Black Onyx/Copper,5.0,270.0,30.0,8826.0,480.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK4SE2PMA75941,https://ev.com/vehicle/kmcazd
Mustang Mach-Egt,Ford,45675.0,Medium,2023.0,Shadow Black,Black Onyx/Copper,5.0,270.0,30.0,8440.0,480.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK4SE9PMA75726,https://ev.com/vehicle/vwhwjs
Mustang Mach-Eselect,Ford,26331.0,Low,2025.0,Black,Unknown,5.0,250.0,30.0,4.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R43SMA15848,https://ev.com/vehicle/rx1e2y
Mustang Mach-Eselect,Ford,29830.0,Low,2025.0,Black,Black Onyx,5.0,250.0,30.0,64.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R45SMA04396,https://ev.com/vehicle/jz2p5k
Mustang Mach-Eselect,Ford,28830.0,Low,2025.0,White,Black Onyx,5.0,250.0,30.0,7.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R42SMA14982,https://ev.com/vehicle/88zatd
Mustang Mach-Eselect,Ford,26332.0,Low,2025.0,Black,Black Onyx,5.0,250.0,30.0,7.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R47SMA18087,https://ev.com/vehicle/68szh5
Mustang Mach-Epremium,Ford,38146.0,Medium,2025.0,Black,Black Onyx,5.0,310.0,30.0,7.0,290.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK3R79SMA16055,https://ev.com/vehicle/jxvwic
Mustang Mach-Eselect,Ford,28361.0,Low,2025.0,Blue,Black Onyx,5.0,250.0,30.0,6.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R44SMA07516,https://ev.com/vehicle/fue9xs
Mustang Mach-Eselect,Ford,27897.0,Low,2025.0,Black,Black Onyx,5.0,250.0,30.0,9.0,264.0,SAE CCS DC fast charge connector,84.0,96.0,100000.0,3FMTK1R4XSMA07665,https://ev.com/vehicle/5dsykf
