Car name,Seller Location,Phone Number,E-car Producer,First Registration,Charge Rate,Price ($),Current Mileage,Max Speed (km/h),Battery (kWh),Engine Capacity (p.h.),Car URL
VOLKSWAGEN ID6,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,VOLKSWAGEN,2022,600.0,45000,5752,160,84.8,302,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/id6
Maple Leaf 80V,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,GEELY,2022,415.0,23500,5752,130,77.4,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/maple-leaf-80v
Maple Leaf 60S,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,GEELY,2022,407.0,23500,5752,130,51.8,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/maple-leaf-60s
Weltmeister EX5,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,WELTMEISTER,2022,403.0,28000,648,160,52.5,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/weltmeister-ex5
NETA U PRO,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,Hozon Auto,2022,500.0,32800,804,155,68.0,231,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/neta-u-pro
Volkswagen ID4 X PURE,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,VOLKSWAGEN,2022,285.0,33500,976,160,52.0,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/volkswagen-id4-x-pure-582
Bestune NAT,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,Bestune,2022,419.0,22300,673,130,55.0,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/bestune-nat
BYD YUAN PRO,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,BYD Auto,2022,510.0,23200,646,175,60.5,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/byd-yuan-pro-580
BYD Tang EV 2022,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,BYD Auto,2022,635.0,59000,860,180,108.0,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/byd-tang-ev-2022
BYD Han 4WD,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,BYD Auto,2022,550.0,52000,981,180,76.9,494,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/byd-han-4wd-578
BMW IX3,"0162, Tbilisi, Georgia Chavchavadze ave 83a, 12",NONE,BMW,2022,520.0,62000,535,180,74.0,282,https://motorwatt.com/ev-marketplace/electric-cars/ev/georgia/bmw-ix3-577
VOLKSWAGEN ID 4 CROZZ,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,VOLKSWAGEN,2022,460.0,70168,5752,160,75.0,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-4-crozz
Dongfeng Fengshen E70 2023 Pro Z,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,DONGFENG,2022,410.0,70168,5752,150,61.3,344,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/dongfeng-fengshen-e70-2023-pro-z
ZEEKR 001,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,ZEEKR,2022,650.0,51402,5752,210,108.0,536,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/zeekr-001-568
Tesla-China Model 3,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,TESLA,2021,560.0,70168,6243,233,75.0,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/tesla-china-model-3
XPENG G3,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,XPENG,2019,400.0,70168,67835,170,66.0,197,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-g3
Skyworth EV6,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,Skyworth,2021,410.0,70168,5752,150,55.0,275,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/skyworth-ev6
Hongqi E-QM5,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,HongQi,2022,431.0,70168,5752,160,54.0,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/hongqi-e-qm5-564
Geometry C,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,Geometry,2020,550.0,70168,16207,150,70.0,344,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/geometry-c
XPENG P7,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,XPENG,2020,670.0,70168,670,170,83.1,263,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-p7-562
Hongqi E-HS9,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,HongQi,2021,510.0,70168,12000,200,80.0,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/hongqi-e-hs9-561
BYD Han,#motorwatt #entertainmentV #electricvehicles #evdatabase # BYD #Han,NONE,BYD Auto,2020,550.0,70168,494,180,76.9,494,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-han-560
Ora Hao Mao,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,Ora,2021,400.0,70168,10,150,46.0,143,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/ora-hao-mao
Buick Light Blue 6,"Zhantao Technology Building C, Niulanqian, Minzhi Road, Shenzhen, Guangdong, China",NONE,BUICK,2020,410.0,70168,30000,150,52.5,344,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/buick-light-blue-6
Tesla Model Y,"J3CV+2Q Scottsdale, Arizona, USA",NONE,TESLA,2022,660.0,98000,590,260,78.4,468,https://motorwatt.com/ev-marketplace/electric-cars/ev/usa/tesla-model-y-527
Tesla Model Y,"J3CV+2Q Scottsdale, Arizona, USA",NONE,TESLA,2021,660.0,64500,28264,260,78.4,468,https://motorwatt.com/ev-marketplace/electric-cars/ev/usa/tesla-model-y-526
Lucid Air Dream Edition,"J3CV+2Q Scottsdale, Arizona, USA",NONE,Lucid Motors,2022,695.0,218000,5752,270,118.0,932,https://motorwatt.com/ev-marketplace/electric-cars/ev/usa/lucid-air-dream-edition
VOLKSWAGEN ID6 CROZZ,"Longhua District, Shenzhen",NONE,VOLKSWAGEN,2022,600.0,70168,5752,160,84.8,302,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id6-crozz-524
VOLKSWAGEN ID3,"Longhua District, Shenzhen",NONE,VOLKSWAGEN,2022,553.0,70168,5752,160,77.0,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id3-523
BYD Tang EV,"Longhua District, Shenzhen",NONE,BYD Auto,2022,565.0,70168,5752,180,82.8,202,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-tang-ev-522
BYD Han EV,"Longhua District, Shenzhen",NONE,BYD Auto,2022,605.0,70168,5752,190,77.0,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-han-ev
BYD QIN EV 405,"Longhua District, Shenzhen",NONE,BYD Auto,2022,400.0,70168,5752,150,47.5,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-qin-ev-405
BMW I3 eDRIVE 35L,"Longhua District, Shenzhen",NONE,BMW,2022,280.0,70168,5752,160,50.0,181,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/bmw-i3-edrive-35l
TOYOTA IZOA EV,"Longhua District, Shenzhen",NONE,TOYOTA,2022,400.0,70168,5752,180,54.3,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/toyota-izoa-ev
CHEVROLET Menlo Nebula,"Longhua District, Shenzhen",NONE,CHEVROLET,2022,411.0,70168,5752,150,52.5,148,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/chevrolet-menlo-nebula
BUICK Weilan 7,"Longhua District, Shenzhen",NONE,BUICK,2022,500.0,70168,5752,145,55.6,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/buick-weilan-7
AUDI Q4 E-TRON,"Longhua District, Shenzhen",NONE,AUDI,2022,405.0,70168,5752,160,82.0,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/audi-q4-e-tron-515
AUDI Q2 E-TRON,"China; Longhua District, Shenzhen",NONE,AUDI,2022,265.0,70168,5752,150,38.0,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/audi-q2-e-tron
NISSAN ARIYA 2WD/4WD,"Longhua District, Shenzhen",NONE,NISSAN,2022,445.0,70168,5752,160,87.0,344,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nissan-ariya-2wd-4wd
HONDA ENP1 Lanji,"Longhua District, Shenzhen",NONE,HONDA,2022,420.0,70168,5752,150,53.6,182,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-enp1-lanji
BMW i3,"Guandong, China",NONE,BMW,2017,280.0,70168,5752,160,50.0,181,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/bmw-i3
MERCEDES EQS AMG,"Guandong, China",NONE,MERCEDES,2022,577.0,70168,5752,220,120.0,658,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-eqs-amg
MERCEDES EQB,"Guandong, China",NONE,MERCEDES,2022,478.0,70168,5752,160,66.5,288,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-eqb
MERCEDES EQE,"Guandong, China",NONE,MERCEDES,2022,471.0,70168,5752,180,90.0,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-eqe
MERCEDES EQS,"Guandong, China",NONE,MERCEDES,2022,450.0,70168,5752,180,80.0,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-eqs
BMW IX3,"Guandong, China",NONE,BMW,2022,520.0,70168,5752,180,80.0,282,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/bmw-ix3-440
AUDI Q4 E TRON,"Guandong, China",NONE,AUDI,2024,499.0,70168,5752,187,77.4,344,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/audi-q4-e-tron-439
Hongqi E HS9,"Guandong, China",NONE,DONGFENG,2022,510.0,70168,5752,187,99.0,551,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/hongqi-e-hs9-438
FAW Hongqi E QM5,"Guandong, China",NONE,DONGFENG,2021,431.0,70168,5752,160,55.0,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-hongqi-e-qm5
DONGFENG MNV,"Guandong, China",NONE,DONGFENG,2022,480.0,70168,5752,140,61.3,140,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/dongfeng-mnv
GAC EA6,"Guandong, China",NONE,GAC Motor,2022,460.0,70168,5752,187,58.8,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-ea6
HONDA ENP1,"Guandong, China",NONE,HONDA,2022,420.0,70168,5752,150,53.6,182,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-enp1
Honda VE1,"Guandong, China",NONE,HONDA,2022,340.0,70168,5752,140,58.8,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-ve1
Buick VELITE 7,"Guandong, China",NONE,Buick,2022,500.0,70168,5752,187,55.6,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/buick-velite-7
Chevrolet MENLO,"Guandong, China",NONE,CHEVROLET,2022,518.0,70168,5752,150,52.2,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/chevrolet-menlo
GAC AION LX,"Guandong, China",NONE,GAC Motor,2022,600.0,70168,5752,170,73.0,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-lx
GAC AION S,"Guandong, China",NONE,GAC Motor,2022,460.0,70168,5752,130,58.8,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-s
GAC AION V PLUS,"Guandong, China",NONE,GAC Motor,2022,500.0,70168,5752,187,70.0,221,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-v-plus
GAC AION Y 90,"Guandong, China",NONE,GAC Motor,2022,410.0,70168,5752,160,55.5,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-y-90
VOYAH FREE,"Guandong, China",NONE,Voyah,2022,475.0,70168,5752,200,88.0,694,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-free-426
VOYAH DREAMER,"Guandong, China",NONE,Voyah,2022,600.0,70168,5752,200,108.0,217,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-dreamer
Arcfox Alpha T,"Guandong, China",NONE,Arcfox,2022,480.0,70168,5752,180,67.3,215,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/arcfox-alpha-t
ARCFOX Alpha S,"Guandong, China",NONE,ARCFOX,2022,525.0,70168,5752,200,67.3,214,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/arcfox-alpha-s
DongFeng Honda ENS1,"Guandong, China",NONE,DONGFENG,2022,510.0,70168,5752,150,68.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/dongfeng-honda-ens1
Audi E TRON 50 QUATTRO,"Guandong, China",NONE,AUDI,2022,488.0,70168,5752,187,82.0,295,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/audi-e-tron-50-quattro
Volvo XC40,"Guandong, China",NONE,VOLVO,2022,418.0,70168,5752,180,78.0,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volvo-xc40
Volvo C40,"Guandong, China",NONE,VOLVO,2022,350.0,70168,5752,180,75.0,228,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volvo-c40
Mercedes Benz EQC 350,"Guandong, China",NONE,Mercedes,2024,499.0,70168,5752,187,77.4,344,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-benz-eqc-350
Mercedes Benz EQC,"Guandong, China",NONE,MERCEDES,2022,370.0,70168,5752,180,85.0,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-benz-eqc
ID 4 CROZZ,"Guandong, China",NONE,VOLKSWAGEN,2022,285.0,70168,5752,160,52.0,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/id-4-crozz
VOLKSWAGEN ID6 CROZZ,"Guandong, China",NONE,VOLKSWAGEN,2022,600.0,70168,5752,160,84.8,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id6-crozz-415
Mercedes Benz EQA 260,"Guandong, China",NONE,MERCEDES,2022,375.0,70168,5752,160,70.5,190,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mercedes-benz-eqa-260
Xpeng G3i 520N+,SHENZHEN; China,NONE,XPENG,2022,520.0,26994,5752,170,66.2,197,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-g3i-520n
Xpeng P7,SHENZHEN; China,NONE,XPENG,2022,670.0,39431,5752,170,83.1,263,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-p7-412
Xpeng P7 480N+,SHENZHEN; China,NONE,XPENG,2022,480.0,35050,5752,170,60.2,424,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xpeng-p7-480n
Voyah Dreammaker (pure electric),SHENZHEN; China,NONE,Voyah,2022,605.0,64730,5752,200,108.7,210,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-dreammaker-pure-electric
Leapmotor C11 (Performance),SHENZHEN; China,NONE,Leap Motor,2021,550.0,29679,5752,170,90.0,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/leapmotor-c11-performance
ZEEKR 001 YOU,SHENZHEN; China,NONE,ZEEKR,2022,650.0,53847,5752,210,108.8,536,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/zeekr-001-you-408
Volkswagen ID6 CROZZ PURE +,SHENZHEN; China,NONE,VOLKSWAGEN,2022,600.0,36746,5752,160,84.8,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id6-crozz-pure
2022 BYD Seal (Full drive),SHENZHEN; China,NONE,BYD Auto,2022,650.0,39997,5752,180,82.5,520,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/2022-byd-seal-full-drive
Qin Plus EV,SHENZHEN; China,NONE,BYD Auto,2021,400.0,25109,5752,150,47.5,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/qin-plus-ev
BYD TANG (Full drive),SHENZHEN; China,NONE,BYD Auto,2022,635.0,47240,5752,180,108.0,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-tang-full-drive
AITO M7 (top version),SHENZHEN; China,NONE,AITO,2022,165.0,52631,5752,187,40.0,449,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/aito-m7-top-version
AITO M5 (top version),SHENZHEN; China,NONE,AITO,2022,552.0,46105,5752,210,79.9,496,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/aito-m5-top-version
ID.4 CROZZ Pure+,Hunan; China .,NONE,VOLKSWAGEN,2022,550.0,43563,5752,160,84.8,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/id-4-crozz-pure
Volkswagen ID.6X Prime,Hunan; China.,NONE,VOLKSWAGEN,2022,510.0,41900,5752,160,77.0,313,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-6x-prime
